patient_ID,first_name,last_name,email,insurance_provider,date_of_birth
103,Elizabeth,Hernandez,,Kaiser Permanente,1988-05-23
104,William,Garcia,,WellCare,1970-05-22
105,Linda,Gonzalez,linda72@outlook.com,Cigna,1941-04-01
106,William,Jackson,william49@outlook.com,United Health,
107,Karen,Davis,karen.davis@gmail.com,oscar health,2002-11-23
108,Maria,Martinez,maria.martinez@gmail.com,United Health,1988-03-23
109,Sarah,Wilson,swilson@yahoo.com,bluecross,1983-11-25
110,Barbara,Miller,,Centene,1948-11-29
111,Barbara,Johnson,barbara51@outlook.com,Molina Healthcare,1980-10-17
112,James,Johnson,jjohnson@yahoo.com,Humana,
113,Michael,Davis,mdavis@yahoo.com,,1952-12-24
114,patricia,Smith,patricia.smith@gmail.com,Bright Health,1961-05-06
115,Robert,Wilson,robert.wilson@gmail.com,,1980-03-20
116,Thomas,Davis,thomas.davis@gmail.com,bright health,1999-02-10
117,Maria,Thomas,,wellcare,2003-11-29
118,Karen,Jones,kjones@yahoo.com,Oscar Health,1992-07-07
119,Thomas,Martinez,thomas.martinez@GMAIL.COM,centene,2002-12-16
120,Sarah,Miller,,Centene,1980-09-07
121,David,Rodriguez,drodriguez@yahoo.com,wellcare,1946-01-08
122,Barbara,Jones,barbara.jones@gmail.com,molina healthcare,1990-05-23
123,Susan,Johnson,susan.johnson@GMAIL.COM,WellCare,1991-11-06
124,Patricia,Lopez,patricia72@outlook.com,United Health,1991-07-04
125,Karen,Martin,karen.martin@GMAIL.COM,Aetna,1999-01-06
126,Elizabeth,Hernandez,elizabeth.hernandez@gmail.com,Kaiser Permanente,1990-10-22
127,James,Williams,james.williams@GMAIL.COM,Molina Healthcare,1980-09-12
128,Charles,Martin,charles.martin@gmail.com,Humana,
129,Susan,Thomas,,bluecross,1985-12-18
130,Charles,Thomas,charles68@outlook.com,BlueCross,
131,Robert,Rodriguez,robert38@outlook.com,,1978-08-20
132,Thomas,Moore,thomas86@outlook.com,Cigna,1943-10-18
133,David,Jackson,david.jackson@GMAIL.COM,aetna,1977-06-21
134,Jennifer,Martin,jennifer59@outlook.com,Cigna,1949-06-30
135,Richard,Martinez,richard96@outlook.com,Centene,
136,Michael,Lopez,mlopez@yahoo.com,Centene,1962-12-18
137,John,Garcia,,cigna,1991-12-27
138,Karen,Hernandez,karen81@outlook.com,Humana,1982-01-25
139,Maria,Lopez,maria.lopez@gmail.com,WellCare,
140,John,MARTIN,john.martin@GMAIL.COM,aetna,1989-09-23
141,Charles,Miller,charles.miller@GMAIL.COM,united health,1945-07-20
142,John,Taylor,jtaylor@yahoo.com,BlueCross,1979-04-10
143,Barbara,Lopez,,bluecross,2000-11-27
144,John,Hernandez,john.hernandez@GMAIL.COM,wellcare,1962-08-10
145,Robert,Hernandez,robert.hernandez@GMAIL.COM,wellcare,1971-05-20
146,Robert,Martin,robert.martin@gmail.com,WellCare,1997-09-23
147,Thomas,Williams,,humana,1972-07-12
148,Jessica,Miller,jmiller@yahoo.com,,1949-01-27
149,Thomas,Johnson,thomas85@outlook.com,centene,1973-10-18
150,Karen,Garcia,,BlueCross,2000-09-05
151,Joseph,Davis,jdavis@yahoo.com,WellCare,1982-01-28
152,Charles,Anderson,charles60@outlook.com,aetna,1977-07-23
153,Robert,Rodriguez,,Bright Health,1949-03-15
154,John,Garcia,,humana,1979-04-01
155,Barbara,Smith,barbara.smith@gmail.com,aetna,1961-02-24
156,David,Brown,david92@outlook.com,Humana,1965-09-26
157,Jessica,Anderson,jessica.anderson@gmail.com,,1959-05-07
158,Thomas,Wilson,thomas15@outlook.com,Centene,1944-04-13
159,John,Brown,john.brown@GMAIL.COM,,1986-03-27
160,James,Martin,jmartin@yahoo.com,molina healthcare,1999-08-09
161,Thomas,Moore,thomas.moore@GMAIL.COM,,
162,James,Lopez,james9@outlook.com,Centene,1996-05-12
163,Robert,Johnson,robert.johnson@GMAIL.COM,Ambetter,1955-09-16
164,Jessica,Garcia,jessica.garcia@gmail.com,ambetter,
165,maria,Hernandez,maria.hernandez@GMAIL.COM,aetna,1988-09-19
166,Elizabeth,Lopez,elizabeth7@outlook.com,Oscar Health,1973-01-06
167,Richard,Hernandez,,ambetter,1986-08-02
168,Susan,Martin,susan.martin@GMAIL.COM,WellCare,1947-03-08
169,Susan,Garcia,,Bright Health,2005-03-16
170,william,Johnson,,Bright Health,2000-12-13
171,Joseph,JOHNSON,joseph.johnson@gmail.com,Centene,1972-11-11
172,Robert,Anderson,robert48@outlook.com,cigna,1991-06-28
173,William,Davis,william.davis@gmail.com,bright health,1986-06-13
174,William,Anderson,william.anderson@GMAIL.COM,WellCare,1984-01-25
175,Jennifer,Anderson,jennifer12@outlook.com,wellcare,1945-10-28
176,Jennifer,Garcia,jennifer.garcia@GMAIL.COM,Centene,1958-01-11
177,Barbara,Moore,barbara74@outlook.com,cigna,1989-06-28
178,Richard,Thomas,,bluecross,1946-08-13
179,Joseph,Taylor,jtaylor@yahoo.com,kaiser permanente,1956-04-28
180,Maria,Brown,mbrown@yahoo.com,WellCare,1968-12-11
181,Thomas,Martinez,thomas11@outlook.com,Molina Healthcare,1989-06-01
182,John,Taylor,jtaylor@yahoo.com,molina healthcare,1953-10-31
183,David,Jackson,david.jackson@gmail.com,,1997-07-19
184,Charles,Wilson,charles.wilson@gmail.com,united health,1988-12-11
185,Richard,Martinez,richard.martinez@gmail.com,,1979-06-09
186,Robert,Hernandez,robert92@outlook.com,bright health,1970-12-26
187,Sarah,Brown,sbrown@yahoo.com,cigna,1980-05-02
188,Richard,Martin,rmartin@yahoo.com,Kaiser Permanente,1991-10-29
189,Thomas,Anderson,thomas64@outlook.com,,1975-04-12
190,Barbara,JOHNSON,barbara7@outlook.com,united health,1998-09-11
191,Patricia,Wilson,patricia18@outlook.com,bright health,1976-03-05
192,Michael,Lopez,michael71@outlook.com,Cigna,1980-05-27
193,Karen,Brown,karen.brown@gmail.com,aetna,1970-06-03
194,Karen,Taylor,karen.taylor@GMAIL.COM,,1952-04-17
195,Robert,Martin,rmartin@yahoo.com,Ambetter,1968-07-29
196,Elizabeth,JACKSON,elizabeth.jackson@GMAIL.COM,humana,2003-08-01
197,David,Brown,david.brown@GMAIL.COM,WellCare,2005-01-26
198,William,Jackson,wjackson@yahoo.com,,1983-02-07
199,richard,Jones,rjones@yahoo.com,BlueCross,2002-11-05
200,Robert,Wilson,rwilson@yahoo.com,bluecross,1994-11-09
201,Maria,Jones,mjones@yahoo.com,kaiser permanente,1999-05-30
202,Joseph,Moore,joseph.moore@GMAIL.COM,Bright Health,2004-09-04
203,Jessica,Miller,jessica32@outlook.com,kaiser permanente,1966-09-13
204,Jessica,Hernandez,jessica62@outlook.com,kaiser permanente,2004-09-28
205,Richard,Gonzalez,rgonzalez@yahoo.com,,
206,Jessica,Miller,jessica.miller@GMAIL.COM,Oscar Health,2002-06-16
207,Linda,Davis,linda.davis@GMAIL.COM,Centene,1944-09-16
208,Robert,Smith,rsmith@yahoo.com,bluecross,1982-09-04
209,David,Martinez,david.martinez@gmail.com,Cigna,1960-10-31
210,Jennifer,Wilson,jennifer.wilson@gmail.com,aetna,1956-09-18
211,Maria,Smith,maria.smith@GMAIL.COM,centene,1970-01-21
212,Jessica,Jones,,Oscar Health,1950-02-08
213,Jennifer,Smith,jennifer95@outlook.com,WellCare,1957-04-30
214,Susan,Taylor,susan.taylor@gmail.com,aetna,1956-07-29
215,James,RODRIGUEZ,jrodriguez@yahoo.com,cigna,1969-07-28
216,Barbara,Davis,barbara.davis@gmail.com,cigna,1976-05-15
217,Elizabeth,Brown,elizabeth82@outlook.com,Bright Health,1959-08-29
218,Karen,Lopez,karen.lopez@GMAIL.COM,united health,1999-07-31
219,Karen,Williams,,humana,1947-01-03
220,Thomas,Miller,thomas.miller@GMAIL.COM,Humana,1986-09-06
221,Jessica,Williams,,BlueCross,1986-01-17
222,Elizabeth,Smith,elizabeth51@outlook.com,Aetna,
223,Sarah,Johnson,,BlueCross,1956-02-23
224,Susan,Lopez,,aetna,2001-04-01
225,Barbara,Brown,barbara.brown@GMAIL.COM,aetna,2005-04-19
226,Elizabeth,Anderson,elizabeth.anderson@GMAIL.COM,bluecross,1960-08-08
227,Patricia,Johnson,,centene,1941-05-27
228,Joseph,Martin,joseph.martin@gmail.com,Centene,1976-02-02
229,Maria,Jones,maria65@outlook.com,Centene,2005-08-17
230,David,Davis,ddavis@yahoo.com,wellcare,1977-02-06
231,Jennifer,Wilson,,BlueCross,1997-09-18
232,Susan,Wilson,susan20@outlook.com,aetna,1988-04-04
233,Robert,Anderson,robert.anderson@GMAIL.COM,bluecross,1989-12-30
234,David,Williams,david58@outlook.com,Cigna,
235,Maria,Williams,maria.williams@GMAIL.COM,bright health,1959-06-21
236,James,Miller,james.miller@gmail.com,bright health,1982-12-19
237,Richard,Davis,richard71@outlook.com,WellCare,1987-11-16
238,jessica,Anderson,,Ambetter,1973-04-04
239,Robert,Smith,robert.smith@GMAIL.COM,molina healthcare,1977-06-18
240,Charles,Davis,charles.davis@GMAIL.COM,oscar health,1970-04-14
241,Jessica,Anderson,jessica22@outlook.com,Kaiser Permanente,1989-01-12
242,Maria,Taylor,maria.taylor@gmail.com,,1940-07-28
243,Robert,Smith,robert.smith@GMAIL.COM,cigna,1995-06-06
244,Jessica,Smith,jessica.smith@GMAIL.COM,kaiser permanente,1941-07-02
245,James,Taylor,,Kaiser Permanente,1948-08-22
246,William,Lopez,,Cigna,1976-06-04
247,Elizabeth,WILLIAMS,elizabeth.williams@gmail.com,Cigna,1973-11-02
248,Jennifer,Williams,,oscar health,1990-10-06
249,Maria,Davis,maria.davis@GMAIL.COM,united health,1946-09-02
250,Maria,Garcia,maria.garcia@gmail.com,Molina Healthcare,2003-12-10
